S.No,Year,Crime Incidence,Crime Rate
1,1981,1385757,200.8
2,1982,1352904,192.0
3,1983,1349866,187.4
4,1984,1358660,184.7
5,1985,1384731,184.4
6,1986,1405835,183.5
7,1987,1406992,180.1
8,1988,1440356,180.8
9,1989,1529844,188.5
10,1990,1604449,194.0
11,1991,1678375,197.5
12,1992,1689341,194.7
13,1993,1629936,184.4
14,1994,1635251,181.7
15,1995,1695696,185.1
16,1996,1709576,183.4
17,1997,1719820,180.0
18,1998,1778815,183.2
19,1999,1764629,178.9
20,2000,1771084,176.7
21,2001,1769308,172.3
22,2002,1780330,169.5
23,2003,1716120,160.7
24,2004,1832015,168.8
25,2005,1822602,165.3
26,2006,1878293,167.7
27,2007,1989673,175.1
28,2008,2093379,181.5
29,2009,2121345,181.4
30,2010,2224831,187.6
31,2011,2325575,192.2
32,2012,2387188,196.7
33,2013,2647722,215.5
34,2014,2851563,229.2
35,2015,2949400,234.2
36,2016,2975711,233.2
37,2017,3062579,237.7
38,2018,3132955,236.7
39,2019,3225597,241.2
40,2020,4254356,314.3
41,2021,3662260,268.0
42,2022,3561379,258.1
